block_id,dataset,backbone,pred_len,seed,val_order,condition,arms,realised_mse,rel_gain_vs_best_fixed,oracle_headroom_pct,best_fixed_mse,oracle_mse,random_arm_mse,best_fixed_arm,oracle_match_acc,n_arms
ETTm1_h96_DLinear,ETTm1,DLinear,96,2023,shuffled,index,fredf|none|revin|san_lite,0.3473540515724887,-1.5138285400289015,4.481856920412457,0.3421741220562085,0.32683836748697176,0.36591791586143413,fredf,0.3826695842450766,4
ETTm1_h96_DLinear,ETTm1,DLinear,96,2023,shuffled,defect,fredf|none|revin|san_lite,0.34839708574230355,-1.8186540959613544,4.481856920412457,0.3421741220562085,0.32683836748697176,0.36591791586143413,fredf,0.29838074398249453,4
ETTm1_h96_DLinear,ETTm1,DLinear,96,2023,shuffled,control,fredf|none|revin|san_lite,0.3424187562427192,-0.071494064203526,4.481856920412457,0.3421741220562085,0.32683836748697176,0.36591791586143413,fredf,0.4640700218818381,4
ETTm1_h96_PatchTST,ETTm1,PatchTST,96,2021,deterministic,index,fredf|none|san_lite,0.33915512467891434,-3.2549240306086626,6.750289478378008,0.32846387507715946,0.3062916126775533,0.3667967740091461,none,0.5585995623632385,3
ETTm1_h96_PatchTST,ETTm1,PatchTST,96,2021,deterministic,defect,fredf|none|san_lite,0.34018151330543556,-3.567405464458916,6.750289478378008,0.32846387507715946,0.3062916126775533,0.3667967740091461,none,0.5480962800875273,3
ETTm1_h96_PatchTST,ETTm1,PatchTST,96,2021,deterministic,control,fredf|none|san_lite,0.328858929943921,-0.12027345980399058,6.750289478378008,0.32846387507715946,0.3062916126775533,0.3667967740091461,none,0.6284463894967177,3
ETTm1_h96_iTransformer,ETTm1,iTransformer,96,2021,deterministic,index,fredf|none|san_lite,0.34445774213294755,-3.5565986343089997,12.086321764304481,0.3326275164263906,0.2924250845144823,0.3498118433504101,fredf,0.36673960612691464,3
ETTm1_h96_iTransformer,ETTm1,iTransformer,96,2021,deterministic,defect,fredf|none|san_lite,0.3426437972143651,-3.011260431964617,12.086321764304481,0.3326275164263906,0.2924250845144823,0.3498118433504101,fredf,0.37698030634573304,3
ETTm1_h96_iTransformer,ETTm1,iTransformer,96,2021,deterministic,control,fredf|none|san_lite,0.33560965217698846,-0.8965391025482992,12.086321764304481,0.3326275164263906,0.2924250845144823,0.3498118433504101,fredf,0.43824945295404816,3
ETTm2_h192_DLinear,ETTm2,DLinear,192,2021,deterministic,index,fredf|none|revin|san_lite,0.2515406914217131,-2.2860417031742157,13.803618298670704,0.2459188831958751,0.21197317923516265,0.2569112317784253,revin,0.28784535263483096,4
