block_id,seed,val_order,condition,n_arms,n,modal_arm,modal_share,best_fixed_share,modal_is_best_fixed,entropy_bits
ETTm1_h336_DLinear,2023,shuffled,index,4,11185,1,0.437997317836388,0.437997317836388,True,1.866812539411797
ETTm1_h336_DLinear,2023,shuffled,defect,4,11185,1,0.26392489941886454,0.26392489941886454,True,1.994599192991439
ETTm1_h336_PatchTST,2021,deterministic,index,3,11185,1,0.6352257487706751,0.6352257487706751,True,1.22683727766634
ETTm1_h336_PatchTST,2021,deterministic,defect,3,11185,1,0.39293696915511844,0.39293696915511844,True,1.5621460137115242
ETTm1_h336_iTransformer,2021,deterministic,index,3,11185,0,0.34322753687974966,0.34322753687974966,True,1.5839869998046887
ETTm1_h336_iTransformer,2021,deterministic,defect,3,11185,0,0.34331694233348237,0.34331694233348237,True,1.5837355023712218
ETTm1_h720_DLinear,2021,deterministic,index,4,10801,1,0.5781872048884362,0.5781872048884362,True,1.6302653184786808
ETTm1_h720_DLinear,2021,deterministic,defect,4,10801,1,0.27951115637440976,0.27951115637440976,True,1.991788378490648
ETTm1_h96_DLinear,2021,deterministic,index,4,11425,0,0.3690153172866521,0.3690153172866521,True,1.924677748765125
ETTm1_h96_DLinear,2021,deterministic,defect,4,11425,0,0.2778118161925602,0.2778118161925602,True,1.9882203992256464
ETTm1_h96_DLinear,2021,shuffled,index,4,11425,0,0.3677024070021882,0.3677024070021882,True,1.9257485565153132
ETTm1_h96_DLinear,2021,shuffled,defect,4,11425,0,0.27641137855579867,0.27641137855579867,True,1.9878932345093583
ETTm1_h96_DLinear,2022,deterministic,index,4,11425,0,0.3799562363238512,0.3799562363238512,True,1.9226695749192428
ETTm1_h96_DLinear,2022,deterministic,defect,4,11425,0,0.27807439824945296,0.27807439824945296,True,1.9881685476298363
ETTm1_h96_DLinear,2022,shuffled,index,4,11425,0,0.3989496717724289,0.3989496717724289,True,1.905148067382042
ETTm1_h96_DLinear,2022,shuffled,defect,4,11425,0,0.27527352297593,0.27527352297593,True,1.9891233107357564
ETTm1_h96_DLinear,2023,deterministic,index,4,11425,0,0.38205689277899346,0.38205689277899346,True,1.9177412314112634
ETTm1_h96_DLinear,2023,deterministic,defect,4,11425,0,0.27973741794310725,0.27973741794310725,True,1.9887514368910912
ETTm1_h96_DLinear,2023,shuffled,index,4,11425,0,0.3932603938730853,0.3932603938730853,True,1.9102016157567345
ETTm1_h96_DLinear,2023,shuffled,defect,4,11425,0,0.2761487964989059,0.2761487964989059,True,1.988835781467937
ETTm1_h96_PatchTST,2021,deterministic,index,3,11425,1,0.5978993435448577,0.5978993435448577,True,1.3342716209920413
ETTm1_h96_PatchTST,2021,deterministic,defect,3,11425,1,0.40822757111597374,0.40822757111597374,True,1.5579787880483984
ETTm1_h96_iTransformer,2021,deterministic,index,3,11425,0,0.42275711159737417,0.42275711159737417,True,1.559864339306054
ETTm1_h96_iTransformer,2021,deterministic,defect,3,11425,0,0.36420131291028446,0.36420131291028446,True,1.5801685137893255
ETTm2_h192_DLinear,2021,deterministic,index,4,11329,0,0.29746667843587254,0.28131344337540826,False,1.9791054287956644
ETTm2_h192_DLinear,2021,deterministic,defect,4,11329,0,0.2857268955777209,0.2833436313884721,False,1.9748827598609642
ETTm2_h336_DLinear,2021,deterministic,index,4,11185,3,0.28645507375949936,0.2744747429593205,False,1.98767163939814
ETTm2_h336_DLinear,2021,deterministic,defect,4,11185,2,0.3048725972284309,0.3048725972284309,True,1.940163762871233
ETTm2_h336_DLinear,2021,shuffled,index,4,11185,2,0.29468037550290566,0.29468037550290566,True,1.9790790119152848
ETTm2_h336_DLinear,2021,shuffled,defect,4,11185,2,0.31399195350916403,0.31399195350916403,True,1.927194783102605
ETTm2_h336_DLinear,2022,deterministic,index,4,11185,3,0.2844881537773804,0.27805096110862765,False,1.9874687276459502
ETTm2_h336_DLinear,2022,deterministic,defect,4,11185,2,0.31014751899865894,0.31014751899865894,True,1.9402547038619278
ETTm2_h336_DLinear,2022,shuffled,index,4,11185,2,0.2997764863656683,0.2997764863656683,True,1.9782784650106258
ETTm2_h336_DLinear,2022,shuffled,defect,4,11185,2,0.31372373714796603,0.31372373714796603,True,1.9323758963662636
ETTm2_h336_DLinear,2023,deterministic,index,4,11185,3,0.2875279392042915,0.2844881537773804,False,1.9832529833638097
ETTm2_h336_DLinear,2023,deterministic,defect,4,11185,2,0.31578006258381763,0.31578006258381763,True,1.933445579927659
ETTm2_h336_DLinear,2023,shuffled,index,4,11185,2,0.2897630755476084,0.2897630755476084,True,1.9830415870921807
ETTm2_h336_DLinear,2023,shuffled,defect,4,11185,2,0.31408135896289674,0.31408135896289674,True,1.9299334960096117
ETTm2_h336_PatchTST,2021,deterministic,index,3,11185,1,0.38703620920876175,0.38703620920876175,True,1.5717449996681534
ETTm2_h336_PatchTST,2021,deterministic,defect,3,11185,1,0.3440321859633438,0.3440321859633438,True,1.5845781030112747
ETTm2_h336_iTransformer,2021,deterministic,index,3,11185,0,0.4481001341081806,0.4481001341081806,True,1.544069631933184
ETTm2_h336_iTransformer,2021,deterministic,defect,3,11185,0,0.3962449709432275,0.3962449709432275,True,1.5723403404275533
ETTm2_h720_DLinear,2021,deterministic,index,4,10801,2,0.3320062957133599,0.3184890287936302,False,1.9101092057472921
ETTm2_h720_DLinear,2021,deterministic,defect,4,10801,2,0.3567262290528655,0.34506064253309876,False,1.847788221687288
ETTm2_h96_DLinear,2021,deterministic,index,4,11425,0,0.410328227571116,0.410328227571116,True,1.9056683122102156
ETTm2_h96_DLinear,2021,deterministic,defect,4,11425,0,0.30205689277899345,0.30205689277899345,True,1.9828107340283436
ETTm2_h96_DLinear,2021,shuffled,index,4,11425,0,0.417417943107221,0.417417943107221,True,1.9023099304276827
ETTm2_h96_DLinear,2021,shuffled,defect,4,11425,0,0.29978118161925604,0.29978118161925604,True,1.9864743973747845
ETTm2_h96_DLinear,2022,deterministic,index,4,11425,0,0.40857768052516413,0.40857768052516413,True,1.90814298134871
ETTm2_h96_DLinear,2022,deterministic,defect,4,11425,0,0.30048140043763677,0.30048140043763677,True,1.985717443134173
ETTm2_h96_DLinear,2022,shuffled,index,4,11425,0,0.41584245076586435,0.41584245076586435,True,1.8999683583979232
ETTm2_h96_DLinear,2022,shuffled,defect,4,11425,0,0.2992560175054705,0.2992560175054705,True,1.9877426888933731
ETTm2_h96_DLinear,2023,deterministic,index,4,11425,0,0.4186433260393873,0.4186433260393873,True,1.8990482645987155
ETTm2_h96_DLinear,2023,deterministic,defect,4,11425,0,0.29820568927789937,0.29820568927789937,True,1.9853686659024263
ETTm2_h96_DLinear,2023,shuffled,index,4,11425,0,0.4163676148796499,0.4163676148796499,True,1.901952517255962
ETTm2_h96_DLinear,2023,shuffled,defect,4,11425,0,0.30301969365426695,0.30301969365426695,True,1.9841343242242508
ETTm2_h96_PatchTST,2021,deterministic,index,3,11425,1,0.420218818380744,0.420218818380744,True,1.5415247324726544
ETTm2_h96_PatchTST,2021,deterministic,defect,3,11425,1,0.35527352297592996,0.35527352297592996,True,1.583337261430376
