cell_id,split,n,p_normal,p_perm
DLinear_ETTm1_h96_fredf_s2022_shuf,val,11425,0.8869612631557876,0.8850574712643678
iTransformer_ILI_h24_fredf_s2021_det,val,74,0.034397338061683214,0.043478260869565216
DLinear_ETTh2_h96_revin_s2021_shuf,val,2785,0.8626692747262747,0.8645677161419291
DLinear_ILI_h36_san_lite_s2021_det,val,62,0.6087863384906808,0.5937031484257871
DLinear_ETTh1_h336_revin_s2022_det,test,2545,0.28086613752553424,0.29735132433783107
DLinear_Weather_h720_san_lite_s2021_det,val,4551,0.9097637736729867,0.9055472263868066
DLinear_ETTh1_h336_san_lite_s2022_det,val,2545,0.4661043117919065,0.47176411794102946
DLinear_ETTm1_h336_revin_s2022_shuf,test,11185,0.23538813555937277,0.22138930534732634
DLinear_ETTm1_h720_none_s2021_det,test,10801,0.2609745791579786,0.2433783108445777
DLinear_ETTm1_h96_san_lite_s2023_shuf,val,11425,0.16315713711518842,0.16491754122938532
DLinear_ETTh1_h336_fredf_s2023_shuf,val,2545,0.9290106849272883,0.9250374812593704
iTransformer_Exchange_h96_none_s2021_det,test,1422,0.5889774014692185,0.5792103948025987
DLinear_ETTh1_h96_none_s2021_det,val,2785,0.20685355961677504,0.21339330334832585
DLinear_ETTh1_h96_fredf_s2021_det,val,2785,0.7914656482587152,0.8070964517741129
