block_id,seed,val_order,n_arms,arms,n,variant,rho_bar,p,z_analytic,p_analytic,null_mean,null_sd
ETTh2_h192_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2689.0,pair:fredf~none,0.8505846581872015,0.0,,,,
ETTh2_h192_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2689.0,pair:fredf~revin,0.9220528608123376,0.0,,,,
ETTh2_h192_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2689.0,pair:fredf~san_lite,0.9174567568358887,0.0,,,,
ETTh2_h192_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2689.0,pair:none~revin,0.6540674488634762,0.0,,,,
ETTh2_h192_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2689.0,pair:none~san_lite,0.6320789310951961,6.242834955838831e-300,,,,
ETTh2_h192_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2689.0,pair:revin~san_lite,0.9905497224486296,0.0,,,,
ETTh2_h336_DLinear,2021,deterministic,4.0,fredf|none|revin|san_lite,2545.0,index_order,0.7085960672290902,0.0004997501249375312,35.740225730079054,4.692482334980687e-280,7.689397353126438e-05,0.008099290589277351
ETTh2_h336_DLinear,2021,deterministic,4.0,fredf|none|revin|san_lite,2545.0,full_permutation,0.0069730474519486526,0.19290354822588707,0.35170713116394525,0.3625289559803885,-5.902953012337997e-05,0.008065991491453095
ETTh2_h336_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2545.0,pair:fredf~none,0.8687988276105902,0.0,,,,
ETTh2_h336_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2545.0,pair:fredf~revin,0.7709720028922591,0.0,,,,
ETTh2_h336_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2545.0,pair:fredf~san_lite,0.764594834139426,0.0,,,,
ETTh2_h336_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2545.0,pair:none~revin,0.43346157295696197,4.3406560764198485e-117,,,,
ETTh2_h336_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2545.0,pair:none~san_lite,0.4213834541120885,4.2275151457467754e-110,,,,
ETTh2_h336_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2545.0,pair:revin~san_lite,0.9923657116632151,0.0,,,,
ETTh2_h720_DLinear,2021,deterministic,4.0,fredf|none|revin|san_lite,2161.0,index_order,0.7637884294728021,0.0004997501249375312,35.497678408488966,2.6689939688448688e-276,-0.00025880840446785024,0.008687169883988119
ETTh2_h720_DLinear,2021,deterministic,4.0,fredf|none|revin|san_lite,2161.0,full_permutation,-0.006075802639625792,0.744127936031984,-0.28237778925736506,0.6111730780435789,-0.00040534167805067846,0.008650465117776486
ETTh2_h720_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2161.0,pair:fredf~none,0.9748253443420822,0.0,,,,
ETTh2_h720_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2161.0,pair:fredf~revin,0.7075245230903244,0.0,,,,
ETTh2_h720_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2161.0,pair:fredf~san_lite,0.703646552959568,0.0,,,,
ETTh2_h720_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2161.0,pair:none~revin,0.6027885260194967,5.78294134369876e-214,,,,
ETTh2_h720_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2161.0,pair:none~san_lite,0.5980482327436318,8.683940319704717e-210,,,,
ETTh2_h720_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2161.0,pair:revin~san_lite,0.995897397681709,0.0,,,,
ETTh2_h96_DLinear,2021,deterministic,4.0,fredf|none|revin|san_lite,2785.0,index_order,0.8940761166070509,0.0004997501249375312,47.17469589480584,0.0,6.238155570176054e-06,0.00796844773090697
ETTh2_h96_DLinear,2021,deterministic,4.0,fredf|none|revin|san_lite,2785.0,full_permutation,0.0147526429888021,0.04097951024487756,0.7784029052050514,0.21816576330658694,0.0002810677038373335,0.007935636621841725
ETTh2_h96_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2785.0,pair:fredf~none,0.9091290491215821,0.0,,,,
ETTh2_h96_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2785.0,pair:fredf~revin,0.9520531970940436,0.0,,,,
ETTh2_h96_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2785.0,pair:fredf~san_lite,0.9415138980197155,0.0,,,,
ETTh2_h96_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2785.0,pair:none~revin,0.8109547993140359,0.0,,,,
ETTh2_h96_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2785.0,pair:none~san_lite,0.7781604947467302,0.0,,,,
ETTh2_h96_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,2785.0,pair:revin~san_lite,0.972645261346198,0.0,,,,
ETTm1_h192_DLinear,2021,deterministic,4.0,fredf|none|revin|san_lite,11329.0,index_order,0.9752235537373725,0.0004997501249375312,103.7960441383403,0.0,0.00018553879857352023,0.0038573001624844687
ETTm1_h192_DLinear,2021,deterministic,4.0,fredf|none|revin|san_lite,11329.0,full_permutation,-0.006635011973048502,0.95952023988006,-0.7061847439735056,0.7599633717487895,7.971423387884557e-05,0.003830757218189199
ETTm1_h192_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,11329.0,pair:fredf~none,0.9974215474443701,0.0,,,,
ETTm1_h192_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,11329.0,pair:fredf~revin,0.9915860400055687,0.0,,,,
ETTm1_h192_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,11329.0,pair:fredf~san_lite,0.9559681555254693,0.0,,,,
ETTm1_h192_DLinear,2021,deterministic,2.0,fredf|none|revin|san_lite,11329.0,pair:none~revin,0.9873498223966831,0.0,,,,
