cell_id,block_id,dataset,backbone,plugin,pred_len,seed,val_order,perm_source,condition,assoc_rho_best,assoc_rho_best_feature,assoc_rho_fstd,assoc_abs_rho_mean,assoc_z_fstd,assoc_p_fstd,decile_ratio_fstd,n,rho_f_std,rho_f_range,rho_f_absdiff,rho_f_slope,rho_f_acf1,rho_f_drift,rho_f_spec_ent,rho_f_cross_corr,rho_f_last_dev,rho_f_kurtosis,spearman_test,r2_test,spearman_holdout,n_val,n_test
DLinear_ETTh2_h336_san_lite_s2022_shuf,ETTh2_h336_DLinear,ETTh2,DLinear,san_lite,336,2022,shuffled,observed,control,0.05194215077339891,f_absdiff,0.033269369348146526,0.023486876962959986,1.6780431410660182,0.09333867736407173,1.1528835818298426,2545,0.033269369348146526,0.04060153998202341,0.05194215077339891,0.0019421318459840727,0.010576860722850783,-0.019545728357644038,0.029689243733591563,0.0024302771547180173,0.024674441184820053,-0.020197026526422475,0.2354331038410868,0.01753900486512261,-0.031046294197720575,2545,2545
DLinear_ETTh2_h336_san_lite_s2023_det,ETTh2_h336_DLinear,ETTh2,DLinear,san_lite,336,2023,deterministic,simulated,index,0.3302677092100305,f_cross_corr,0.3182625821227771,0.21421378938842217,16.052553849171154,5.4859472608825785e-58,2.064697284297636,2545,0.3182625821227771,0.23417808094997813,0.17636620628302227,-0.05748330507373231,0.3009521676272426,0.27422349770997195,-0.1773924754673768,0.3302677092100305,0.14101088148727312,-0.1320009879528169,0.36308443930663425,-0.17395565937449642,0.03743312864037621,2545,2545
DLinear_ETTh2_h336_san_lite_s2023_det,ETTh2_h336_DLinear,ETTh2,DLinear,san_lite,336,2023,deterministic,simulated,defect,-0.03879908930597857,f_std,-0.03879908930597857,0.018539190009072636,-1.956951603386266,0.05035315864672117,0.8587075709565212,2545,-0.03879908930597857,-0.027996662094354613,-0.037415541143089474,0.0040370203054180065,-0.015335274694008489,-0.02391613614821458,-0.012456069106146423,-0.013649447708226384,-0.008005777433227645,0.0037808821520622093,0.013194366513566237,-0.0741859191530676,-0.051706075353349985,2545,2545
DLinear_ETTh2_h336_san_lite_s2023_det,ETTh2_h336_DLinear,ETTh2,DLinear,san_lite,336,2023,deterministic,simulated,control,0.033301300624974495,f_absdiff,0.01231231029452484,0.014255142728416886,0.6210093021061416,0.534593502786268,0.9953980436375088,2545,0.01231231029452484,0.005855851514975519,0.033301300624974495,-0.006477169562934832,-0.019432625406280594,0.02582437481802382,-0.007614052743600122,0.009651107031007558,-0.013897672018242763,-0.008184963269604339,-0.2767636838357176,-0.14972413026633413,0.018293926422139475,2545,2545
DLinear_ETTh2_h336_san_lite_s2023_shuf,ETTh2_h336_DLinear,ETTh2,DLinear,san_lite,336,2023,shuffled,observed,index,0.3302595398465906,f_cross_corr,0.31825413176002443,0.21419492882153657,16.052127629091412,5.523755420200144e-58,2.065023710490265,2545,0.31825413176002443,0.2342082965801479,0.17636209393815755,-0.05744887246623427,0.3009475136671222,0.2742348090242768,-0.1773522277756551,0.3302595398465906,0.14095094491624338,-0.1319308582409134,0.3797981508499396,-0.214227750379949,0.03171208035464723,2545,2545
DLinear_ETTh2_h336_san_lite_s2023_shuf,ETTh2_h336_DLinear,ETTh2,DLinear,san_lite,336,2023,shuffled,observed,defect,0.036671469522450546,f_absdiff,-0.007661533619704148,0.016884081167569197,-0.38643305215845614,0.6991759755042652,0.9255691033585389,2545,-0.007661533619704148,0.0042491128496488575,0.036671469522450546,0.003602949164953031,-0.028815458171126594,-0.028361847386739872,0.0357405988768006,-0.016743006997232312,-0.0021376178264333337,-0.004857217260602635,-0.09366939681734196,-0.08506095294309635,-0.00028698009721290574,2545,2545
DLinear_ETTh2_h336_san_lite_s2023_shuf,ETTh2_h336_DLinear,ETTh2,DLinear,san_lite,336,2023,shuffled,observed,control,0.033269461801288286,f_absdiff,0.012328418980516436,0.01426160700669718,0.6218217933125999,0.5340590544432697,0.9953148243955298,2545,0.012328418980516436,0.005830803102628364,0.033269461801288286,-0.0064990831414651565,-0.01940306151226375,0.02591202913214512,-0.007667679933687654,0.00965800680169756,-0.013883145955323552,-0.008164379705955911,-0.29416374443603377,-0.1600387339017335,0.012561765795389701,2545,2545
DLinear_ETTh2_h720_fredf_s2021_det,ETTh2_h720_DLinear,ETTh2,DLinear,fredf,720,2021,deterministic,simulated,index,-0.3517333968501028,f_absdiff,0.017204018108700432,0.13805245248984527,0.7995705074741711,0.42395968062754186,1.0894686094087307,2161,0.017204018108700432,-0.08172759905492329,-0.3517333968501028,-0.21221598731453012,0.04559933641765895,0.21993169093445802,-0.08808626432498402,-0.08567561052605192,0.07431791175278553,0.2040327096142576,-0.11330320036870291,-1.4715863413613177,-0.12309373930087743,2161,2161
DLinear_ETTh2_h720_fredf_s2021_det,ETTh2_h720_DLinear,ETTh2,DLinear,fredf,720,2021,deterministic,simulated,defect,-0.028062373714997105,f_last_dev,-0.0014634910089334904,0.01464422984228585,-0.06801691565908438,0.9457721687189061,0.917587591603975,2161,-0.0014634910089334904,-0.009635316248982085,0.015640522909391476,-0.010589231001415546,-0.022708613751975148,0.010997242057538088,-0.010383611275087495,0.020187275299439426,-0.028062373714997105,-0.01677462115509864,0.04776171083244236,-0.774151128749152,-0.006241064943797114,2161,2161
DLinear_ETTh2_h720_fredf_s2021_det,ETTh2_h720_DLinear,ETTh2,DLinear,fredf,720,2021,deterministic,simulated,control,-0.03280501783430456,f_drift,-0.009903800204419928,0.013084242666498037,-0.46028703907060786,0.6453102030337112,1.0329898068230736,2161,-0.009903800204419928,0.011514167633758073,0.0007643106910842365,-0.0021876066768044262,-0.008980312322334144,-0.03280501783430456,0.02154890831682035,-0.009612560786009795,-0.013413320513923627,0.020112421685521215,0.15533214246283858,-0.21193238772237244,-0.007598720732506584,2161,2161
