cell_id,dataset,backbone,plugin,pred_len,seq_len,seed,val_order,condition,n,assoc_rho_fstd,assoc_rho_ci_lo,assoc_rho_ci_hi,assoc_rho_ci_excludes_zero,assoc_p_block,assoc_p_boot_2sided,assoc_p_iid_naive,block_len,block_len_requested,block_len_cover,block_len_floor,block_len_capped,n_blocks,n_boot,n_perm,assoc_p_fstd,boot_rho_mean
DLinear_ETTh1_h336_none_s2022_shuf,ETTh1,DLinear,none,336,96,2022,shuffled,control,2545,-0.03308070306688341,-0.06269398718021146,0.003164213002938502,0.0,0.07496251874062969,0.07,0.09521112179128281,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.09521112179128281,-0.03220573109259523
DLinear_ETTh1_h336_none_s2023_det,ETTh1,DLinear,none,336,96,2023,deterministic,index,2545,0.2648639900720176,-0.12386773636327232,0.4001019714236316,0.0,0.24237881059470265,0.177,1.0463907358721082e-40,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,1.0463907358721082e-40,0.1954596685514738
DLinear_ETTh1_h336_none_s2023_det,ETTh1,DLinear,none,336,96,2023,deterministic,defect,2545,-0.028913087232873384,-0.05327846125199855,0.0024300063210785506,0.0,0.1199400299850075,0.071,0.1447521860129484,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.1447521860129484,-0.027900166488844632
DLinear_ETTh1_h336_none_s2023_det,ETTh1,DLinear,none,336,96,2023,deterministic,control,2545,-0.017578198832842416,-0.05288745802795175,0.015924326074458487,0.0,0.31284357821089454,0.345,0.375288577444735,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.375288577444735,-0.01718053524437316
DLinear_ETTh1_h336_none_s2023_shuf,ETTh1,DLinear,none,336,96,2023,shuffled,index,2545,0.2669238311955383,-0.10953905432874671,0.41003811680576385,0.0,0.2283858070964518,0.169,2.5777633375573894e-41,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,2.5777633375573894e-41,0.1978664493016262
DLinear_ETTh1_h336_none_s2023_shuf,ETTh1,DLinear,none,336,96,2023,shuffled,defect,2545,0.023021490758831923,-0.012212739623217696,0.05832855468555739,0.0,0.35132433783108447,0.206,0.24557691454936303,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.24557691454936303,0.022904026332916168
DLinear_ETTh1_h336_none_s2023_shuf,ETTh1,DLinear,none,336,96,2023,shuffled,control,2545,-0.040168234805444125,-0.06546110087137318,-0.009607107510774173,1.0,0.02348825587206397,0.01,0.04276389569673113,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.04276389569673113,-0.037723592962751254
DLinear_ETTh1_h336_revin_s2021_det,ETTh1,DLinear,revin,336,96,2021,deterministic,index,2545,0.28123687147187515,-0.05392259330674925,0.417069028828377,0.0,0.18290854572713644,0.103,1.1338802602266742e-45,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,1.1338802602266742e-45,0.21875111267333935
DLinear_ETTh1_h336_revin_s2021_det,ETTh1,DLinear,revin,336,96,2021,deterministic,defect,2545,0.016417088561170242,-0.023141306270690526,0.04873735923949401,0.0,0.3868065967016492,0.43,0.40764420005550717,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.40764420005550717,0.01466662436603587
DLinear_ETTh1_h336_revin_s2021_det,ETTh1,DLinear,revin,336,96,2021,deterministic,control,2545,0.020441910875695482,-0.012122576287367712,0.05680300047575821,0.0,0.3328335832083958,0.225,0.30251701986586943,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.30251701986586943,0.020821573068166052
DLinear_ETTh1_h336_revin_s2021_shuf,ETTh1,DLinear,revin,336,96,2021,shuffled,index,2545,0.2812425591600374,-0.057510781845864965,0.4069196874101117,0.0,0.20339830084957522,0.117,1.129252816401755e-45,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,1.129252816401755e-45,0.21456079765630043
DLinear_ETTh1_h336_revin_s2021_shuf,ETTh1,DLinear,revin,336,96,2021,shuffled,defect,2545,-0.008494527691259269,-0.03862952185203251,0.022090510309935557,0.0,0.6156921539230384,0.608,0.6683252214942642,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.6683252214942642,-0.008398283142773182
DLinear_ETTh1_h336_revin_s2021_shuf,ETTh1,DLinear,revin,336,96,2021,shuffled,control,2545,0.013230200373475748,-0.032063689966603956,0.05023143975864235,0.0,0.463768115942029,0.447,0.5045767482088434,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.5045767482088434,0.013902871759652474
DLinear_ETTh1_h336_revin_s2022_det,ETTh1,DLinear,revin,336,96,2022,deterministic,index,2545,0.2817675044590805,-0.06910975300040362,0.4149990131846937,0.0,0.19740129935032483,0.1,7.739643379283915e-46,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,7.739643379283915e-46,0.2188125697443562
DLinear_ETTh1_h336_revin_s2022_det,ETTh1,DLinear,revin,336,96,2022,deterministic,defect,2545,0.015536497865089517,-0.01538606359496767,0.04252136872666198,0.0,0.5292353823088456,0.325,0.43325658089118735,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.43325658089118735,0.01440325247209029
DLinear_ETTh1_h336_revin_s2022_det,ETTh1,DLinear,revin,336,96,2022,deterministic,control,2545,0.016148141643804046,-0.009151334962526615,0.048664125247613134,0.0,0.23888055972013994,0.173,0.4153692956716696,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.4153692956716696,0.01851831917908699
DLinear_ETTh1_h336_revin_s2022_shuf,ETTh1,DLinear,revin,336,96,2022,shuffled,index,2545,0.281608739847371,-0.07196432259688063,0.41451061765604336,0.0,0.20239880059970014,0.113,8.677095173118636e-46,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,8.677095173118636e-46,0.21633327932111412
DLinear_ETTh1_h336_revin_s2022_shuf,ETTh1,DLinear,revin,336,96,2022,shuffled,defect,2545,0.0026721200140202637,-0.03396322238651206,0.03687028363903276,0.0,0.8845577211394303,0.763,0.892788503302379,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.892788503302379,0.004101615268190012
DLinear_ETTh1_h336_revin_s2022_shuf,ETTh1,DLinear,revin,336,96,2022,shuffled,control,2545,-0.015136774886733251,-0.04549696156510195,0.007020317418006669,0.0,0.4472763618190905,0.194,0.44518322131786436,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.44518322131786436,-0.01633336308171481
DLinear_ETTh1_h336_revin_s2023_det,ETTh1,DLinear,revin,336,96,2023,deterministic,index,2545,0.2813818074231049,-0.04514385949150181,0.40526723388490765,0.0,0.1854072963518241,0.084,1.0216427113616223e-45,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,1.0216427113616223e-45,0.22119512741683833
DLinear_ETTh1_h336_revin_s2023_det,ETTh1,DLinear,revin,336,96,2023,deterministic,defect,2545,0.01796219240148156,-0.0463143108005867,0.07875022759910144,0.0,0.5067466266866567,0.617,0.3649472257141063,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.3649472257141063,0.01640068957017075
DLinear_ETTh1_h336_revin_s2023_det,ETTh1,DLinear,revin,336,96,2023,deterministic,control,2545,0.025958780574799955,-0.0018572410425773834,0.049105722683082914,0.0,0.11544227886056972,0.068,0.19042900016236008,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.19042900016236008,0.025427766616593808
DLinear_ETTh1_h336_revin_s2023_shuf,ETTh1,DLinear,revin,336,96,2023,shuffled,index,2545,0.28168212361867356,-0.06028766046729515,0.4063387621084433,0.0,0.20739630184907545,0.11,8.230517324861035e-46,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,8.230517324861035e-46,0.21611874631318284
DLinear_ETTh1_h336_revin_s2023_shuf,ETTh1,DLinear,revin,336,96,2023,shuffled,defect,2545,0.029934596172393333,-0.012712101241266857,0.07821321656925412,0.0,0.1629185407296352,0.191,0.13108334143008704,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.13108334143008704,0.03112343529072316
DLinear_ETTh1_h336_revin_s2023_shuf,ETTh1,DLinear,revin,336,96,2023,shuffled,control,2545,0.010189400525384267,-0.02808089098464516,0.06333256701241959,0.0,0.6281859070464768,0.716,0.6072982699482928,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.6072982699482928,0.011401030110273328
DLinear_ETTh1_h336_san_lite_s2021_det,ETTh1,DLinear,san_lite,336,96,2021,deterministic,index,2545,0.31652124685306243,-0.03336978071927749,0.4549048493745998,0.0,0.15792103948025987,0.07,2.250340624198501e-57,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,2.250340624198501e-57,0.2597640930282585
DLinear_ETTh1_h336_san_lite_s2021_det,ETTh1,DLinear,san_lite,336,96,2021,deterministic,defect,2545,-0.02019266812516472,-0.048537619200469125,0.016442868676055298,0.0,0.41629185407296354,0.302,0.30845017265096564,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.30845017265096564,-0.01740032047830757
DLinear_ETTh1_h336_san_lite_s2021_det,ETTh1,DLinear,san_lite,336,96,2021,deterministic,control,2545,0.018595395961664235,-0.010483201295265067,0.05217834478013116,0.0,0.3563218390804598,0.23,0.3482875363016473,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.3482875363016473,0.01987622556933416
DLinear_ETTh1_h336_san_lite_s2021_shuf,ETTh1,DLinear,san_lite,336,96,2021,shuffled,index,2545,0.3165275177088037,-0.033885630685087514,0.46157339595626706,0.0,0.1664167916041979,0.079,2.2389620829712537e-57,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,2.2389620829712537e-57,0.2560700633123413
DLinear_ETTh1_h336_san_lite_s2021_shuf,ETTh1,DLinear,san_lite,336,96,2021,shuffled,defect,2545,-0.010719410729794127,-0.04027684828820364,0.01956002122325256,0.0,0.5317341329335332,0.514,0.5887374692781855,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.5887374692781855,-0.010403329158979128
DLinear_ETTh1_h336_san_lite_s2021_shuf,ETTh1,DLinear,san_lite,336,96,2021,shuffled,control,2545,-0.0015126560637265122,-0.04825101823372694,0.03925314692526465,0.0,0.9290354822588706,0.981,0.9391840306780587,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.9391840306780587,-0.0018474973493430554
DLinear_ETTh1_h336_san_lite_s2022_det,ETTh1,DLinear,san_lite,336,96,2022,deterministic,index,2545,0.3170766289488441,-0.03439136300174295,0.45616819422900073,0.0,0.15592203898050974,0.076,1.4358245116839446e-57,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,1.4358245116839446e-57,0.255078295354416
DLinear_ETTh1_h336_san_lite_s2022_det,ETTh1,DLinear,san_lite,336,96,2022,deterministic,defect,2545,-0.011280278078390472,-0.03421030105866862,0.016162935375938672,0.0,0.6126936531734133,0.404,0.569386286820015,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.569386286820015,-0.010702976717663092
DLinear_ETTh1_h336_san_lite_s2022_det,ETTh1,DLinear,san_lite,336,96,2022,deterministic,control,2545,0.003981129106048064,-0.0313660389569632,0.03226142868260269,0.0,0.862568715642179,0.815,0.8408545627751699,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.8408545627751699,0.0027701610402475164
DLinear_ETTh1_h336_san_lite_s2022_shuf,ETTh1,DLinear,san_lite,336,96,2022,shuffled,index,2545,0.31698320723300805,-0.029267438719644427,0.4588539449111749,0.0,0.1424287856071964,0.074,1.5486421890878376e-57,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,1.5486421890878376e-57,0.2537551022375187
DLinear_ETTh1_h336_san_lite_s2022_shuf,ETTh1,DLinear,san_lite,336,96,2022,shuffled,defect,2545,0.002923271158084082,-0.033136301971826036,0.035964246418717316,0.0,0.8900549725137431,0.803,0.8827814304208348,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.8827814304208348,0.004154552837636361
DLinear_ETTh1_h336_san_lite_s2022_shuf,ETTh1,DLinear,san_lite,336,96,2022,shuffled,control,2545,0.0031524934355998953,-0.029301866212367193,0.037865852613565815,0.0,0.8590704647676162,0.832,0.8736643682144924,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.8736643682144924,0.004023366309475912
DLinear_ETTh1_h336_san_lite_s2023_det,ETTh1,DLinear,san_lite,336,96,2023,deterministic,index,2545,0.31671632079824996,-0.041351940776193453,0.4555537106278352,0.0,0.1519240379810095,0.086,1.9219540622638378e-57,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,1.9219540622638378e-57,0.25356306414589347
DLinear_ETTh1_h336_san_lite_s2023_det,ETTh1,DLinear,san_lite,336,96,2023,deterministic,defect,2545,0.009881381599949517,-0.03059501654235682,0.04602792627719132,0.0,0.6776611694152923,0.648,0.618203599679017,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.618203599679017,0.00885830438519449
DLinear_ETTh1_h336_san_lite_s2023_det,ETTh1,DLinear,san_lite,336,96,2023,deterministic,control,2545,0.01514668557233925,-0.019369860670107923,0.05292761174999319,0.0,0.5572213893053474,0.472,0.444885268645108,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.444885268645108,0.014534895573201935
DLinear_ETTh1_h336_san_lite_s2023_shuf,ETTh1,DLinear,san_lite,336,96,2023,shuffled,index,2545,0.31692049051591653,-0.03446594158909072,0.4533558954438882,0.0,0.15692153923038482,0.08,1.6292910539569493e-57,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,1.6292910539569493e-57,0.25681801772813884
DLinear_ETTh1_h336_san_lite_s2023_shuf,ETTh1,DLinear,san_lite,336,96,2023,shuffled,defect,2545,0.026514585936613835,-0.0163923752475309,0.07394437180164473,0.0,0.21689155422288856,0.248,0.18111010424322926,432.0,432.0,432.0,14.0,0.0,6.0,2000,2000,0.18111010424322926,0.02754686502079838
