dataset,backbone,plugin,pred_len,seed,val_order,cell_id,mse,val_mse,best_epoch,epochs_run,n_val_windows,n_test_windows,n_train_windows,n_params,loader_shuffled_val,seq_len,batch_size,plugin_kind,train_seconds,device,truncated,timestamp,winerr_dir,block_id
ETTh1,DLinear,fredf,96,2021,shuffled,DLinear_ETTh1_h96_fredf_s2021_shuf,0.3908745384036939,0.7008274024884457,9,10,2785,2785,8449,18624,True,96,32,loss,70.8,cuda:0,False,2026-09-16 22:56:50,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h96_fredf_s2021_shuf,ETTh1_h96_DLinear
ETTh1,DLinear,fredf,96,2022,deterministic,DLinear_ETTh1_h96_fredf_s2022_det,0.39075172612165054,0.7007682127657839,9,10,2785,2785,8449,18624,False,96,32,loss,69.3,cuda:0,False,2026-09-16 22:56:48,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h96_fredf_s2022_det,ETTh1_h96_DLinear
ETTh1,DLinear,fredf,96,2022,shuffled,DLinear_ETTh1_h96_fredf_s2022_shuf,0.39084263363179667,0.7003417343810816,9,10,2785,2785,8449,18624,True,96,32,loss,70.1,cuda:0,False,2026-09-16 22:57:55,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h96_fredf_s2022_shuf,ETTh1_h96_DLinear
ETTh1,DLinear,fredf,96,2023,deterministic,DLinear_ETTh1_h96_fredf_s2023_det,0.39073647212664203,0.7007248856220896,9,10,2785,2785,8449,18624,False,96,32,loss,69.0,cuda:0,False,2026-09-16 22:58:12,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h96_fredf_s2023_det,ETTh1_h96_DLinear
ETTh1,DLinear,fredf,96,2023,shuffled,DLinear_ETTh1_h96_fredf_s2023_shuf,0.39068028925422565,0.7003965040919332,9,10,2785,2785,8449,18624,True,96,32,loss,69.6,cuda:0,False,2026-09-16 22:58:13,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h96_fredf_s2023_shuf,ETTh1_h96_DLinear
ETTh1,DLinear,none,96,2021,deterministic,DLinear_ETTh1_h96_none_s2021_det,0.395842024627135,0.675386422506161,9,10,2785,2785,8449,18624,False,96,32,io,34.2,cuda:0,False,2026-09-16 22:23:19,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h96_none_s2021_det,ETTh1_h96_DLinear
ETTh1,DLinear,none,96,2021,shuffled,DLinear_ETTh1_h96_none_s2021_shuf,0.39676232247859317,0.6754681214701673,4,8,2785,2785,8449,18624,True,96,32,io,53.4,cuda:0,False,2026-09-16 22:53:42,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h96_none_s2021_shuf,ETTh1_h96_DLinear
ETTh1,DLinear,none,96,2022,deterministic,DLinear_ETTh1_h96_none_s2022_det,0.3956882504527361,0.6757135112560579,9,10,2785,2785,8449,18624,False,96,32,io,67.9,cuda:0,False,2026-09-16 22:53:57,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h96_none_s2022_det,ETTh1_h96_DLinear
ETTh1,DLinear,none,96,2022,shuffled,DLinear_ETTh1_h96_none_s2022_shuf,0.3959027716183424,0.6753081108592887,9,10,2785,2785,8449,18624,True,96,32,io,66.1,cuda:0,False,2026-09-16 22:53:55,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h96_none_s2022_shuf,ETTh1_h96_DLinear
ETTh1,DLinear,none,96,2023,deterministic,DLinear_ETTh1_h96_none_s2023_det,0.3955066379567665,0.6757795729779419,9,10,2785,2785,8449,18624,False,96,32,io,66.3,cuda:0,False,2026-09-16 22:53:55,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h96_none_s2023_det,ETTh1_h96_DLinear
ETTh1,DLinear,none,96,2023,shuffled,DLinear_ETTh1_h96_none_s2023_shuf,0.39550030732690916,0.6756348779428369,8,10,2785,2785,8449,18624,True,96,32,io,68.3,cuda:0,False,2026-09-16 22:55:04,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h96_none_s2023_shuf,ETTh1_h96_DLinear
ETTh1,DLinear,revin,96,2021,deterministic,DLinear_ETTh1_h96_revin_s2021_det,0.398654637381981,0.711840757631059,9,10,2785,2785,8449,18638,False,96,32,io,39.1,cuda:0,False,2026-09-16 22:23:24,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h96_revin_s2021_det,ETTh1_h96_DLinear
ETTh1,DLinear,revin,96,2021,shuffled,DLinear_ETTh1_h96_revin_s2021_shuf,0.39856597130406846,0.7119945329795121,9,10,2785,2785,8449,18638,True,96,32,io,73.9,cuda:0,False,2026-09-16 22:55:23,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h96_revin_s2021_shuf,ETTh1_h96_DLinear
ETTh1,DLinear,revin,96,2022,deterministic,DLinear_ETTh1_h96_revin_s2022_det,0.39849814051102805,0.7123927590010706,9,10,2785,2785,8449,18638,False,96,32,io,74.4,cuda:0,False,2026-09-16 22:55:24,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h96_revin_s2022_det,ETTh1_h96_DLinear
ETTh1,DLinear,revin,96,2022,shuffled,DLinear_ETTh1_h96_revin_s2022_shuf,0.39866132511994345,0.7124591108936729,9,10,2785,2785,8449,18638,True,96,32,io,74.3,cuda:0,False,2026-09-16 22:55:25,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h96_revin_s2022_shuf,ETTh1_h96_DLinear
ETTh1,DLinear,revin,96,2023,deterministic,DLinear_ETTh1_h96_revin_s2023_det,0.3981951250544448,0.7118413823093421,9,10,2785,2785,8449,18638,False,96,32,io,74.3,cuda:0,False,2026-09-16 22:56:32,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h96_revin_s2023_det,ETTh1_h96_DLinear
ETTh1,DLinear,revin,96,2023,shuffled,DLinear_ETTh1_h96_revin_s2023_shuf,0.3981259215965509,0.7120356062737205,9,10,2785,2785,8449,18638,True,96,32,io,74.3,cuda:0,False,2026-09-16 22:56:52,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h96_revin_s2023_shuf,ETTh1_h96_DLinear
ETTh1,DLinear,san_lite,96,2021,deterministic,DLinear_ETTh1_h96_san_lite_s2021_det,0.41089101716209764,0.7447308711152796,9,10,2785,2785,8449,18624,False,96,32,io,39.8,cuda:0,False,2026-09-16 22:23:24,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h96_san_lite_s2021_det,ETTh1_h96_DLinear
ETTh1,DLinear,san_lite,96,2021,shuffled,DLinear_ETTh1_h96_san_lite_s2021_shuf,0.41085198545818746,0.7447644021640102,9,10,2785,2785,8449,18624,True,96,32,io,78.2,cuda:0,False,2026-09-16 22:58:24,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h96_san_lite_s2021_shuf,ETTh1_h96_DLinear
ETTh1,DLinear,san_lite,96,2022,deterministic,DLinear_ETTh1_h96_san_lite_s2022_det,0.4109974280232862,0.7449540653442372,9,10,2785,2785,8449,18624,False,96,32,io,78.0,cuda:0,False,2026-09-16 22:59:28,/data00/home/liumianhan/order-audit/results/winerr/DLinear_ETTh1_h96_san_lite_s2022_det,ETTh1_h96_DLinear
