cell_id,dataset,backbone,plugin,pred_len,seed,val_order,split,n,variant,r,z,p,null_sd,reject
DLinear_ETTh1_h336_none_s2021_shuf,ETTh1,DLinear,none,336,2021,shuffled,test,2545,full_permutation,0.008792985345971355,0.46359177488737024,0.3214701241950587,0.019814991560644927,0
DLinear_ETTh1_h336_none_s2022_det,ETTh1,DLinear,none,336,2022,deterministic,val,2545,index_order,0.9994396568835676,50.458000693054856,0.0,0.01981514774488861,1
DLinear_ETTh1_h336_none_s2022_det,ETTh1,DLinear,none,336,2022,deterministic,val,2545,full_permutation,0.00393690987094506,0.2185192705953094,0.41351227266423285,0.01981514774488861,0
DLinear_ETTh1_h336_none_s2022_det,ETTh1,DLinear,none,336,2022,deterministic,test,2545,index_order,0.9982745502448069,50.39958607877535,0.0,0.01981499670344276,1
DLinear_ETTh1_h336_none_s2022_det,ETTh1,DLinear,none,336,2022,deterministic,test,2545,full_permutation,0.03134165156453989,1.6015512795938252,0.05462743590649523,0.01981499670344276,0
DLinear_ETTh1_h336_none_s2022_shuf,ETTh1,DLinear,none,336,2022,shuffled,val,2545,index_order,0.9994324351330967,50.457721726489766,0.0,0.019815114172489583,1
DLinear_ETTh1_h336_none_s2022_shuf,ETTh1,DLinear,none,336,2022,shuffled,val,2545,full_permutation,-0.026260719092624785,-1.3054498251406477,0.9041301391394023,0.019815114172489583,0
DLinear_ETTh1_h336_none_s2022_shuf,ETTh1,DLinear,none,336,2022,shuffled,val,2545,observed_loader_order,-0.0017843150238756474,-0.07021071141749383,0.5279870255558111,0.019815114172489583,0
DLinear_ETTh1_h336_none_s2022_shuf,ETTh1,DLinear,none,336,2022,shuffled,test,2545,index_order,0.9982510483635963,50.398444294186625,0.0,0.01981497929371194,1
DLinear_ETTh1_h336_none_s2022_shuf,ETTh1,DLinear,none,336,2022,shuffled,test,2545,full_permutation,0.006835327366237919,0.3647951895431989,0.35763214810471256,0.01981497929371194,0
DLinear_ETTh1_h336_none_s2023_det,ETTh1,DLinear,none,336,2023,deterministic,val,2545,index_order,0.9994471171813732,50.45807180192755,0.0,0.01981526767148848,1
