cell_id,draw,condition,assoc_rho_fstd,spearman_test
DLinear_ETTh1_h336_fredf_s2021_shuf,1,defect,0.03859761134277457,0.14567132596549992
DLinear_ETTh1_h336_fredf_s2021_shuf,1,control,-0.016365854233106134,-0.06051386033628424
DLinear_ETTh1_h336_fredf_s2021_shuf,2,defect,-0.0006802279943978344,0.0985518335109673
DLinear_ETTh1_h336_fredf_s2021_shuf,2,control,0.016950822732500793,0.16988143291361574
DLinear_ETTh1_h336_fredf_s2021_shuf,3,defect,0.0027182970824321815,0.16034259363975117
DLinear_ETTh1_h336_fredf_s2021_shuf,3,control,-0.010241178652636539,-0.03826915134376938
DLinear_ETTh1_h336_fredf_s2021_shuf,4,defect,-0.0025146701296653124,-0.27948123554850335
DLinear_ETTh1_h336_fredf_s2021_shuf,4,control,0.010428355497967032,-0.08786309934886516
DLinear_ETTh1_h336_fredf_s2021_shuf,5,defect,-0.014627490567522806,0.16034817908856433
DLinear_ETTh1_h336_fredf_s2021_shuf,5,control,-0.01814658546087425,0.22763463232758122
DLinear_ETTh1_h336_fredf_s2021_shuf,6,defect,0.004218556781123461,0.1684296463256375
DLinear_ETTh1_h336_fredf_s2021_shuf,6,control,0.0017187046333525331,0.16888934774443828
DLinear_ETTh1_h336_fredf_s2021_shuf,7,defect,-0.0031348392528143822,0.07603358770936677
DLinear_ETTh1_h336_fredf_s2021_shuf,7,control,0.013320022604574764,-0.030129721432429066
DLinear_ETTh1_h336_fredf_s2022_det,0,defect,0.05816103867441626,-0.12489739382312214
DLinear_ETTh1_h336_fredf_s2022_det,0,control,-0.004274260164580227,-0.26822033011267576
DLinear_ETTh1_h336_fredf_s2022_det,1,defect,0.00018387291954000826,-0.2969678614361851
DLinear_ETTh1_h336_fredf_s2022_det,1,control,-0.024943458725082333,-0.00781950190942129
DLinear_ETTh1_h336_fredf_s2022_det,2,defect,0.019183896614843463,0.12740501460194134
DLinear_ETTh1_h336_fredf_s2022_det,2,control,-0.017141716637156055,0.24207479778962399
DLinear_ETTh1_h336_fredf_s2022_det,3,defect,0.015327312081755933,-0.2544479073400122
DLinear_ETTh1_h336_fredf_s2022_det,3,control,-0.03180501460301196,-0.14545122676386554
DLinear_ETTh1_h336_fredf_s2022_det,4,defect,-0.024797598970359404,0.05020288980541483
DLinear_ETTh1_h336_fredf_s2022_det,4,control,0.021276593498792833,0.07522140343440206
DLinear_ETTh1_h336_fredf_s2022_det,5,defect,0.009540860302815363,0.13823013363069606
DLinear_ETTh1_h336_fredf_s2022_det,5,control,-0.0009920061959736986,0.02010218123783921
DLinear_ETTh1_h336_fredf_s2022_det,6,defect,0.0007951042992265532,-0.047325418299755354
DLinear_ETTh1_h336_fredf_s2022_det,6,control,-0.01729485143496989,0.01831732077386216
DLinear_ETTh1_h336_fredf_s2022_det,7,defect,0.004201194155427298,0.011869267939606023
DLinear_ETTh1_h336_fredf_s2022_det,7,control,-0.008917804020697523,-0.028335899826221377
DLinear_ETTh1_h336_fredf_s2022_shuf,0,defect,-0.037060813725672034,0.013258835221394259
DLinear_ETTh1_h336_fredf_s2022_shuf,0,control,-0.02327333056488345,0.14174161713221348
DLinear_ETTh1_h336_fredf_s2022_shuf,1,defect,-0.003412379216522083,-0.06045251447445932
DLinear_ETTh1_h336_fredf_s2022_shuf,1,control,0.015082568226560336,-0.09016987076209981
DLinear_ETTh1_h336_fredf_s2022_shuf,2,defect,0.004671925876982111,-0.12037020678775817
DLinear_ETTh1_h336_fredf_s2022_shuf,2,control,-0.024040689457584252,0.15896461190628153
DLinear_ETTh1_h336_fredf_s2022_shuf,3,defect,-0.031105794756180093,-0.2607511181187981
DLinear_ETTh1_h336_fredf_s2022_shuf,3,control,0.004047268772581315,-0.06831420012408664
DLinear_ETTh1_h336_fredf_s2022_shuf,4,defect,-0.01003770093525598,0.24653022550165046
DLinear_ETTh1_h336_fredf_s2022_shuf,4,control,0.011579207110790978,0.04953252402324759
DLinear_ETTh1_h336_fredf_s2022_shuf,5,defect,0.023752207992138768,-0.13406073773325186
DLinear_ETTh1_h336_fredf_s2022_shuf,5,control,-0.009813393597833956,-0.1264181241648449
DLinear_ETTh1_h336_fredf_s2022_shuf,6,defect,0.0011948818756054766,-0.11209156727337402
DLinear_ETTh1_h336_fredf_s2022_shuf,6,control,-0.008433168652205869,-0.18359910429800708
DLinear_ETTh1_h336_fredf_s2022_shuf,7,defect,-0.001558040728360701,0.0047536406815574936
DLinear_ETTh1_h336_fredf_s2022_shuf,7,control,-0.018879892478306484,0.040405180707276896
DLinear_ETTh1_h336_fredf_s2023_det,0,defect,0.023313714388396547,0.06982994638118477
DLinear_ETTh1_h336_fredf_s2023_det,0,control,-0.006626423876660111,0.10876289619973628
DLinear_ETTh1_h336_fredf_s2023_det,1,defect,-0.009912386889404871,0.2432801643834654
DLinear_ETTh1_h336_fredf_s2023_det,1,control,0.02730761949874323,-0.16450538197367115
DLinear_ETTh1_h336_fredf_s2023_det,2,defect,0.011975938101646095,-0.03176850948481968
DLinear_ETTh1_h336_fredf_s2023_det,2,control,-0.016435277078862758,0.17118664887305468
DLinear_ETTh1_h336_fredf_s2023_det,3,defect,0.009420833918020588,0.002797707803340044
DLinear_ETTh1_h336_fredf_s2023_det,3,control,0.03371563993545926,0.29047652709905536
DLinear_ETTh1_h336_fredf_s2023_det,4,defect,0.039716403554731564,-0.10975835747173159
DLinear_ETTh1_h336_fredf_s2023_det,4,control,-0.0004949628179671018,-0.06756989469768446
DLinear_ETTh1_h336_fredf_s2023_det,5,defect,-0.011600421102949381,-0.022512925690151994
DLinear_ETTh1_h336_fredf_s2023_det,5,control,0.025196909904427908,-0.026622816387476638
DLinear_ETTh1_h336_fredf_s2023_det,6,defect,0.005375619497927898,0.012771783746653116
DLinear_ETTh1_h336_fredf_s2023_det,6,control,0.01406458924990975,-0.10771845254233536
DLinear_ETTh1_h336_fredf_s2023_det,7,defect,-0.013445731942205223,0.08721143464681891
DLinear_ETTh1_h336_fredf_s2023_det,7,control,-0.021738450440500632,-0.2997235532372779
DLinear_ETTh1_h336_fredf_s2023_shuf,0,defect,-0.03736725439589937,0.13653503197312022
DLinear_ETTh1_h336_fredf_s2023_shuf,0,control,0.01713853172937955,-0.04395682673585288
DLinear_ETTh1_h336_fredf_s2023_shuf,1,defect,-0.003390064522392456,0.17185295311303747
DLinear_ETTh1_h336_fredf_s2023_shuf,1,control,-0.04089954606526562,0.11564555527341996
DLinear_ETTh1_h336_fredf_s2023_shuf,2,defect,0.012124318842378341,-0.06111635551969638
DLinear_ETTh1_h336_fredf_s2023_shuf,2,control,0.01226686993933705,0.015247823110057871
DLinear_ETTh1_h336_fredf_s2023_shuf,3,defect,-0.002654505870570668,0.02955465358151607
DLinear_ETTh1_h336_fredf_s2023_shuf,3,control,0.02115742393923705,0.002378331678344993
DLinear_ETTh1_h336_fredf_s2023_shuf,4,defect,0.029112714677287134,-0.03738742758100935
